day,turnover
2019-01-01,44701.679999999986
2019-01-02,70769.8
2019-01-03,63244.24
2019-01-04,57895.950000000004
2019-01-05,57288.990000000013
2019-01-06,75150.340000000026
2019-01-07,67380.62000000001
2019-01-08,54080.990000000034
2019-01-09,86489.649999999951
2019-01-10,64468.17
2019-01-11,52787.569999999978
2019-01-12,51100.49
2019-01-13,80446.719999999972
2019-01-14,69685.9
2019-01-15,81006.91
2019-01-16,66634.880000000019
2019-01-17,61585.590000000033
2019-01-18,45995.42
2019-01-19,48428.910000000018
2019-01-20,78316.810000000027
2019-01-21,76761.790000000023
2019-01-22,57259.830000000016
2019-01-23,57521.270000000004
2019-01-24,50592.340000000011
2019-01-25,51693.18
2019-01-26,41447.360000000008
2019-01-27,65220.459999999992
2019-01-28,50570.280000000021
2019-01-29,54834.66
2019-01-30,60212.569999999992
2019-01-31,58476.359999999993
2019-02-01,53041.74000000002
2019-02-02,50050.38
2019-02-03,75426.53
2019-02-04,67293.42
2019-02-05,58690.160000000018
2019-02-06,56740.990000000013
2019-02-07,56876.490000000013
2019-02-08,43266.770000000004
2019-02-09,45455.840000000011
2019-02-10,76160.72
2019-02-11,68156.599999999991
2019-02-12,49700.839999999989
2019-02-13,48971.689999999988
2019-02-14,38402.549999999996
2019-02-15,36808.209999999992
2019-02-16,32296.869999999995
2019-02-17,49627.039999999994
2019-02-18,59460.930000000044
2019-02-19,50789.400000000023
2019-02-20,48809.700000000012
2019-02-21,48048.82
2019-02-22,38906.890000000007
2019-02-23,40638.16
2019-02-24,62244.680000000022
2019-02-25,63354.080000000009
2019-02-26,62525.010000000024
2019-02-27,68184.150000000009
2019-02-28,57580.290000000015
2019-03-01,55034.980000000025
2019-03-02,54652.690000000024
2019-03-03,82840.26999999999
2019-03-04,71062.22
2019-03-05,64671.490000000005
2019-03-06,85161.459999999992
2019-03-07,84863.589999999967
2019-03-08,40153.300000000017
2019-03-09,45423.100000000013
2019-03-10,73453.65
2019-03-11,59023.260000000024
2019-03-12,52309.550000000017
2019-03-13,49163.44000000001
2019-03-14,52798.79
2019-03-15,38442.909999999996
2019-03-16,39097.29
2019-03-17,62411.330000000009
2019-03-18,59891.670000000006
2019-03-19,52955.860000000008
2019-03-20,53879.450000000012
2019-03-21,47679.290000000008
2019-03-22,38646.149999999994
2019-03-23,37912.890000000014
2019-03-24,75767.510000000024
2019-03-25,90217.950000000026
2019-03-26,68983.450000000041
2019-03-27,77108.930000000051
2019-03-28,65544.030000000028
2019-03-29,56381.53
2019-03-30,53410.020000000011
2019-03-31,85430.290000000052
2019-04-01,76575.350000000035
2019-04-02,70145.69
2019-04-03,72999.75999999998
2019-04-04,60371.060000000019
2019-04-05,50653.530000000006
2019-04-06,46894.520000000019
2019-04-07,62595.58
2019-04-08,60400.020000000004
2019-04-09,65596.680000000008
2019-04-10,59117.000000000015
2019-04-11,57304.73
2019-04-12,41924.63
2019-04-13,39684.51
2019-04-14,58692.390000000007
2019-04-15,59531.150000000009
2019-04-16,51820.83
2019-04-17,47236.610000000008
2019-04-18,43126.860000000008
2019-04-19,31542.080000000005
2019-04-20,28412.670000000002
2019-04-21,38185.560000000019
2019-04-22,58192.56
2019-04-23,55734.509999999995
2019-04-24,51676.26999999999
2019-04-25,49503.23
2019-04-26,54043.479999999989
2019-04-27,51303.220000000008
2019-04-28,80490.39
2019-04-29,74341.039999999979
2019-04-30,56861.85
2019-05-01,74533.400000000009
2019-05-02,86601.699999999983
2019-05-03,52917.06
2019-05-04,53592.670000000013
2019-05-05,83745.32
2019-05-06,79119.570000000022
2019-05-07,62625.88
2019-05-08,82006.460000000021
2019-05-09,76879.63
2019-05-10,41468.060000000005
2019-05-11,45832.909999999989
2019-05-12,67171.35
2019-05-13,71937.410000000018
2019-05-14,54576.890000000014
2019-05-15,66264.310000000027
2019-05-16,58368.71
2019-05-17,45202.64
2019-05-18,42718.4
2019-05-19,77435.11
2019-05-20,76695.489999999991
2019-05-21,58424.64999999998
2019-05-22,52902.22
2019-05-23,44053.12999999999
2019-05-24,41836.83
2019-05-25,41309.109999999986
2019-05-26,59613.62999999999
2019-05-27,74812.589999999982
2019-05-28,64409.369999999995
2019-05-29,52080.819999999971
2019-05-30,58368.089999999982
2019-05-31,48106.079999999994
2019-06-01,43278.380000000005
2019-06-02,79193.409999999989
2019-06-03,79300.709999999977
2019-06-04,65715.42
2019-06-05,67058.22
2019-06-06,55699.02
2019-06-07,44454.77
2019-06-08,39165.88
2019-06-09,54680.070000000022
2019-06-10,89134.439999999988
2019-06-11,64937.169999999984
2019-06-12,56800.180000000015
2019-06-13,56190.419999999991
2019-06-14,45334.23
2019-06-15,43320.36
2019-06-16,62699.560000000012
2019-06-17,80067.309999999969
2019-06-18,53847.380000000005
2019-06-19,50714.199999999975
2019-06-20,52900.539999999979
2019-06-21,45827.83
2019-06-22,38495.530000000006
2019-06-23,60647.340000000004
2019-06-24,76372.87999999999
2019-06-25,51020.840000000004
2019-06-26,73278.62
2019-06-27,56284.85
2019-06-28,64106.579999999987
2019-06-29,59098.310000000027
2019-06-30,90524.059999999983
2019-07-01,98796.00999999998
2019-07-02,66266.720000000016
2019-07-03,75742.29
2019-07-04,63007.96
2019-07-05,53449.800000000025
2019-07-06,50781.14
2019-07-07,77522.330000000031
2019-07-08,83832.98000000001
2019-07-09,61884.280000000021
2019-07-10,55796.6
2019-07-11,51064.349999999991
2019-07-12,43602.13
2019-07-13,38256.560000000012
2019-07-14,56915.610000000008
2019-07-15,68409.390000000014
2019-07-16,50712.110000000022
2019-07-17,45802.700000000004
2019-07-18,47054.450000000004
2019-07-19,42043.369999999988
2019-07-20,39240.960000000006
2019-07-21,52912.320000000014
2019-07-22,59251.299999999996
2019-07-23,47297.109999999993
2019-07-24,48059.289999999994
2019-07-25,49279.369999999988
2019-07-26,46011.07
2019-07-27,45058.08
2019-07-28,74069.73
2019-07-29,84831.24000000002
2019-07-30,57102.62000000001
2019-07-31,68864.100000000035
2019-08-01,49605.819999999985
2019-08-02,43563.049999999981
2019-08-03,36713.259999999995
2019-08-04,53242.84
2019-08-05,63585.649999999972
2019-08-06,61555.12999999999
2019-08-07,49889.88
2019-08-08,46091.55
2019-08-09,40362.340000000004
2019-08-10,32896.08
2019-08-11,49667.46
2019-08-12,61084.189999999995
2019-08-13,45046.84
2019-08-14,42153.72
2019-08-15,38307.05
2019-08-16,36314.759999999995
2019-08-17,35428.18
2019-08-18,50537.639999999992
2019-08-19,66070.23
2019-08-20,56392.31
2019-08-21,50571.350000000006
2019-08-22,45755.609999999993
